Equipo,Estadio,Latitud,Longitud,URL
Barcelona,"Camp Nou, Barcelona",41.3808046,2.1158872,"/wiki/FC_Barcelona"
Real Madrid,"Estadio Santiago Bernabéu, Madrid",40.4530225,-3.687421959,"/wiki/Real_Madrid_CF"
Athletic Club de Bilbao,"San Mamés, Bilbao",43.264204,-2.9493915,"/wiki/Athletic_Bilbao"
Real Sociedad,"Reale Arena, San Sebastián",43.3013371,-1.9735522,"/wiki/Real_Sociedad"
Atlético de Madrid,"Wanda Metropolitano, Madrid",40.4364242,-3.598854259,"/wiki/Atl%C3%A9tico_Madrid"
Espanyol,"RCDE Stadium, Barcelona",41.3478069,2.0748019,"/wiki/RCD_Espanyol"
Racing de Santander,"Campos de Sport de El Sardinero, Santander",43.4762607,-3.7939533,"/wiki/Racing_de_Santander"
Alavés,"Mendizorrotza, Vitoria-Gasteiz",42.8370538,-2.688263,"/wiki/Deportivo_Alav%C3%A9s"
Valencia,"Estadio de Mestalla, Valencia",39.47473944,-0.358587807,"/wiki/Valencia_CF"
Betis,"Estadio Benito Villamarín, Sevilla",37.35653545,-5.9817566,"/wiki/Real_Betis"
Oviedo,"Estadio Carlos Tartiere, Oviedo",43.36087155,-5.870306,"/wiki/Real_Oviedo"
Sevilla,"Estadio Ramón Sánchez-Pizjuán, Sevilla",37.3840876,-5.9706309,"/wiki/Sevilla_FC"
Osasuna,"El Sadar, Pamplona",42.7966593,-1.6371276,"/wiki/CA_Osasuna"
Zaragoza,"La Romareda, Zaragoza",41.6432203,-0.8934009,"/wiki/Real_Zaragoza"
Celta de Vigo,"Abanca-Balaídos, Vigo",42.2117805,-8.7397149,"/wiki/RC_Celta_de_Vigo"
Granada,"Nuevo Los Cármenes, Granada",37.1512119,-3.5961538,"/wiki/Granada_CF"
Sporting de Gijón,"El Molinón, Gijón",43.5371882,-5.6373587,"/wiki/Sporting_de_Gij%C3%B3n"
Valladolid,"Estadio José Zorrilla, Valladolid",41.6445801,-4.7612576,"/wiki/Real_Valladolid"
Las Palmas,"Estadio Gran Canaria, Las Palmas",28.1002336,-15.4567247,"/wiki/UD_Las_Palmas"
Elche,"Estadio Manuel Martínez Valero, Elche",38.26704445,-0.6633051,"/wiki/Elche_CF"
Mallorca,"Visit Mallorca Estadi, Palma",39.59014735,2.6300298,"/wiki/RCD_Mallorca"
