Equipo,Estadio,Latitud,Longitud,,
Atlético de Bilbao,San Mamés,43.264204,-2.949391453,,
Atlético de Madrid,Wanda Metropolitano,40.43631376,-3.599460437,,
Barcelona,Camp Nou,41.3809,2.1228,,
Betis,Estadio Benito Villamarín,37.35653545,-5.981756556,,
Málaga,La Rosaleda,39.58990286,2.62989953,,
Celta de Vigo,Estadio de Balaídos,42.2128066,-8.7392881,,
Deportivo de La Coruña,Estadio Riazor,43.369825,-8.4159262,,
Elche,Estadio Manuel Martínez Valero,38.26704445,-0.663305146,,
Espanyol,RCDE Stadium,41.3478069,2.074801953,,
Granada,Estadio Nuevo Los Cármenes,37.15289075,-3.595893909,,
Las Palmas,Estadio Gran Canaria,28.1002336,-15.45672473,,
Mallorca,Visit Mallorca Estadi,39.58990286,2.62989953,,
Osasuna,Estadio El Sadar,42.7966593,-1.637127641,,https://raw.githubusercontent.com/uber-common/deck.gl-data/master/examples/3d-heatmap/heatmap-data.csv
Oviedo,Estadio Carlos Tartiere,43.36087155,-5.870305983,,deck.gl-data/master/examples/3d-heatmap/heatmap-data.csv
Racing de Santander,Campos de Sport de El Sardinero,43.4762607,-3.793953349,,
Rayo Vallecano,Estadio de Vallecas,40.3920985,-3.6596775,,
Real Madrid,Estadio Santiago Bernabéu,40.4530225,-3.687421959,,
Real Sociedad,Estadio Anoeta,43.30154229,-1.973620997,,
Sevilla,Estadio Ramón Sánchez-Pizjuán,37.3840876,-5.970630902,,
Sporting de Gijón,Estadio El Molinón,43.53627105,-5.63747657,,
Valencia,Estadio de Mestalla,39.47463525,-0.358259915,,
Valladolid,Estadio José Zorrilla,41.6445801,-4.761257628,,
Villarreal,Estadio de la Cerámica,39.94420835,-0.103404614,,
Zaragoza,Estadio La Romareda,41.63648875,-0.901822581,,
