Equipo,Estadio,Latitud,Longitud
Barcelona,"Camp Nou, Barcelona",41.3808046,2.1158872
Real Madrid,"Estadio Santiago Bernabéu, Madrid",40.4530225,-3.687421959
Athletic Club de Bilbao,"San Mamés, Bilbao",43.264204,-2.9493915
Real Sociedad,"Reale Arena, San Sebastián",43.3013371,-1.9735522
CD Getxo,"Campo de Gobela, Getxo",43.33143114,-3.007110339
Atlético de Madrid,"Wanda Metropolitano, Madrid",40.4364242,-3.598854259
Espanyol,"RCDE Stadium, Barcelona",41.3478069,2.0748019
Europa,"Nou Sardenya, Barcelona",41.4117734,2.1615381
Real Unión,"Stadium Gal, Irun",43.345297,-1.7863936
Racing de Santander,"Campos de Sport de El Sardinero, Santander",43.4762607,-3.7939533
Alavés,"Mendizorrotza, Vitoria-Gasteiz",42.8370538,-2.688263
Valencia,"Estadio de Mestalla, Valencia",39.47473944,-0.358587807
Betis,"Estadio Benito Villamarín, Sevilla",37.35653545,-5.9817566
Oviedo,"Estadio Carlos Tartiere, Oviedo",43.36087155,-5.870306
Sevilla,"Estadio Ramón Sánchez-Pizjuán, Sevilla",37.3840876,-5.9706309
Hércules,"José Rico Pérez, Alicante",38.35734585,-0.4925974
Osasuna,"El Sadar, Pamplona",42.7966593,-1.6371276
Zaragoza,"La Romareda, Zaragoza",41.6432203,-0.8934009
Celta de Vigo,"Abanca-Balaídos, Vigo",42.2117805,-8.7397149
Murcia,"Estadio Nueva Condomina, Murcia",38.04222405,-1.1447324
Deportivo de La Coruña,"Estadio Riazor, A Coruña",43.3687157,-8.4175098
Castellón,"Nou Estadi Castalia, Castellón",39.99614035,-0.0386377
Granada,"Nuevo Los Cármenes, Granada",37.1512119,-3.5961538
Sabadell,"Nova Creu Alta, Sabadell",41.55472465,2.091333
Sporting de Gijón,"El Molinón, Gijón",43.5371882,-5.6373587
Alcoyano,"El Collao, Alcoy",38.6908905,-0.49032
Gimnàstic de Tarragona,"Nou Estadi, Tarragona",41.127007,1.2736358
Valladolid,"Estadio José Zorrilla, Valladolid",41.6445801,-4.7612576
Lérida,"Camp d'Esports, Lleida",41.6212986,0.6135542
Las Palmas,"Estadio Gran Canaria, Las Palmas",28.1002336,-15.4567247
Jaén,"Nuevo Estadio de La Victoria, Jaén",37.77541635,-3.7682559
Cultural Leonesa,"Estadio Reino de León, León",42.5875838,-5.5769861
Elche,"Estadio Manuel Martínez Valero, Elche",38.26704445,-0.6633051
Mallorca,"Visit Mallorca Estadi, Palma",39.59014735,2.6300298
Tenerife,"Estadio Heliodoro Rodríguez López, Santa Cruz de Tenerife",28.46324275,-16.260548
Córdoba,"Estadio Nuevo Arcángel, Córdoba",37.872206,-4.764498996
Levante,"Estadio Ciudad de Valencia, Valencia",39.49464255,-0.3638622
Pontevedra,"Estadio Municipal de Pasarón, Pontevedra",42.4385929,-8.6413575
Burgos,"Estadio El Plantío, Burgos",42.34421005,-3.6808645
Rayo Vallecano,"Estadio de Vallecas, Madrid",40.3920985,-3.6596775
Cádiz,"Estadio Ramón de Carranza, Cádiz",36.5026039,-6.2730167
Recreativo de Huelva,"Estadio Nuevo Colombino, Huelva",37.24666295,-6.9542045
Logroñés,"Las Gaunas, Logroño",42.45310745,-2.4471607
Albacete,"Estadio Carlos Belmonte, Albacete",38.9810821,-1.8521439
Compostela,"Estadio Multiusos de San Lázaro, Santiago de Compostela",42.88258514,-8.516960815
Mérida,"Estadio Romano, Mérida",38.91395515,-6.336653
Extremadura,"Estadio Francisco de la Hera, Almendralejo",38.68452895,-6.41478
Villarreal,"Estadio de la Cerámica, Villarreal",39.94420835,-0.1034046
Málaga,"La Rosaleda, Málaga",36.7349597,-4.4265352
Numancia,"Nuevo Estadio Los Pajaritos, Soria",41.75472985,-2.467905994
Getafe,"Coliseum Alfonso Pérez, Getafe",40.3257247,-3.7149326
Almería,"Estadio de los Juegos Mediterráneos, Almería",36.84004991,-2.435431693
Xerez,"Estadio Municipal de Chapín, Jerez de la Frontera",36.68934245,-6.1205228
Eibar,"Ipurua, Eibar",43.1827531,-2.4764693
Leganés,"Estadio Municipal de Butarque, Leganés",40.34037465,-3.7606512
Girona,"Estadio Montilivi, Girona",41.9612296,2.8289964
Huesca,"Estadio El Alcoraz, Huesca",42.13186235,-0.4241425
