Equipo,Partidos_jugados,Partidos_ganados,Partidos_perdidos,Partidos_empatados,Goles_a_favor,Goles_en_contra,Partidos_ganados_casa,Partidos_perdidos_casa,Partidos_empatados_casa,Partidos_ganados_fuera,Partidos_perdidos_fuera,Partidos_empatados_fuera,Porcentaje_victorias,Porcentaje_derrotas,Porcentaje_empates,Media_goles_a_favor,Media_goles_en_contra,Total_partidos_jugados_casa,Total_partidos_jugados_fuera,Porcentaje_victorias_casa,Porcentaje_derrotas_casa,Porcentaje_empates_casa,Porcentaje_victorias_fuera,Porcentaje_derrotas_fuera,Porcentaje_empates_fuera
Barcelona,3011,1746,654,611,6441,3342,1142,141,223,604,513,388,0.5798737960810362,0.2172035868482232,0.2029226170707406,2.1391564264364,1.1099302557289936,1506,1505,0.7583001328021248,0.09362549800796813,0.14807436918990705,0.40132890365448504,0.3408637873754153,0.2578073089700997
Real Madrid,3011,1808,601,602,6441,3364,1151,135,219,657,466,383,0.6004649618067087,0.19960146130853537,0.19993357688475588,2.1391564264364,1.1172367984058453,1505,1506,0.7647840531561462,0.08970099667774087,0.14551495016611296,0.4362549800796813,0.3094289508632138,0.2543160690571049
Athletic Club de Bilbao,3012,1296,1003,713,4928,3973,927,271,308,369,732,405,0.4302788844621514,0.3330013280212483,0.23671978751660028,1.6361221779548474,1.3190571049136786,1506,1506,0.6155378486055777,0.1799468791500664,0.20451527224435592,0.2450199203187251,0.4860557768924303,0.2689243027888446
Real Sociedad,2476,946,896,634,3441,3332,688,231,319,258,665,315,0.38206785137318255,0.36187399030694667,0.2560581583198708,1.3897415185783522,1.345718901453958,1238,1238,0.555735056542811,0.18659127625201938,0.25767366720516965,0.2084006462035541,0.537156704361874,0.2544426494345719
Arenas de Guecho,130,43,66,21,227,308,35,19,11,8,47,10,0.33076923076923076,0.5076923076923077,0.16153846153846155,1.7461538461538462,2.3692307692307693,65,65,0.5384615384615384,0.2923076923076923,0.16923076923076924,0.12307692307692308,0.7230769230769231,0.15384615384615385
Atlético de Madrid,2863,1388,815,660,4942,3511,936,208,288,452,607,372,0.48480614739783445,0.28466643381068807,0.23052741879147748,1.726161369193154,1.226336011177087,1432,1431,0.6536312849162011,0.1452513966480447,0.2011173184357542,0.3158630328441649,0.4241788958770091,0.259958071278826
Español,1782,660,738,384,2596,2764,541,163,187,119,575,197,0.37037037037037035,0.41414141414141414,0.21548821548821548,1.4567901234567902,1.5510662177328844,891,891,0.6071829405162739,0.1829405162738496,0.20987654320987653,0.1335578002244669,0.6453423120089786,0.22109988776655443
Europa,54,18,30,6,97,131,13,9,5,5,21,1,0.3333333333333333,0.5555555555555556,0.1111111111111111,1.7962962962962963,2.425925925925926,27,27,0.48148148148148145,0.3333333333333333,0.18518518518518517,0.18518518518518517,0.7777777777777778,0.037037037037037035
Real Unión,54,17,26,11,129,139,12,9,6,5,17,5,0.3148148148148148,0.48148148148148145,0.2037037037037037,2.388888888888889,2.574074074074074,27,27,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.18518518518518517,0.6296296296296297,0.18518518518518517
Racing de Santander,1216,378,538,300,1532,1936,273,164,171,105,374,129,0.31085526315789475,0.44243421052631576,0.24671052631578946,1.2598684210526316,1.5921052631578947,608,608,0.44901315789473684,0.26973684210526316,0.28125,0.17269736842105263,0.6151315789473685,0.21217105263157895
Alavés,592,187,279,126,660,936,131,96,68,56,183,58,0.3158783783783784,0.47128378378378377,0.21283783783783783,1.114864864864865,1.5810810810810811,295,297,0.4440677966101695,0.3254237288135593,0.2305084745762712,0.18855218855218855,0.6161616161616161,0.19528619528619529
Valencia,2914,1279,943,692,4727,3772,906,227,323,373,716,369,0.43891557995881947,0.3236101578586136,0.23747426218256693,1.622168840082361,1.2944406314344543,1456,1458,0.6222527472527473,0.1559065934065934,0.22184065934065933,0.2558299039780521,0.49108367626886146,0.25308641975308643
Donostia,76,25,43,8,136,182,22,12,4,3,31,4,0.32894736842105265,0.5657894736842105,0.10526315789473684,1.7894736842105263,2.3947368421052633,38,38,0.5789473684210527,0.3157894736842105,0.10526315789473684,0.07894736842105263,0.8157894736842105,0.10526315789473684
